Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,2.188027648,0,2.210135808,22072,2.234144,44512,2.300755968,113713,2.343511296,155082,2.428004608,236952,2.67751808,522514,3.113382656,1012288,3.719375616,1813371
2,2.18808704,0,2.210833408,22081,2.23294208,44488,2.30124288,113744,2.344792064,155171,2.421385472,236306,2.68190464,523352,3.11273088,1011909,3.75548544,1831033
3,2.18800896,0,2.210330112,22075,2.234263808,44514,2.303497472,113852,2.34327296,155066,2.42691584,236853,2.679824896,522955,3.124809216,1015871,3.724854528,1816123
4,2.188122624,0,2.210903296,22079,2.233187072,44494,2.300399872,113697,2.346315264,155270,2.42145408,236310,2.681239296,523236,3.103064832,1008816,3.737220352,1822136
5,2.188024832,0,2.210471424,22075,2.234545664,44520,2.303466752,113852,2.341540608,154956,2.42687104,236836,2.675608832,522194,3.110898176,1011323,3.748330496,1827584
median,2.188027648,0,2.210471424,22075,2.234144,44512,2.30124288,113744,2.343511296,155082,2.42687104,236836,2.679824896,522955,3.11273088,1011909,3.737220352,1822136
