Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,3.927987712,0,4.045421312,40279,4.090065152,81237,4.220788736,207995,4.306130688,284146,4.497170432,437575,4.985639424,969716,5.6219008,1820745,6.56406144,3182893
median,3.927987712,0,4.045421312,40279,4.090065152,81237,4.220788736,207995,4.306130688,284146,4.497170432,437575,4.985639424,969716,5.6219008,1820745,6.56406144,3182893
