Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,4.674628608,0,4.594639104,45892,4.609219584,91843,4.677159936,231188,5.812139264,384664,6.090300672,594430,7.040937472,1374163,8.270881536,2689217,8.92912512,4354105
2,4.666980352,0,4.652389376,46469,4.708185856,93815,4.838417664,239164,6.159609088,407677,6.338316288,618633,7.066589184,1379197,8.266409984,2687712,8.97232512,4375099
3,4.673725184,0,4.592006656,45867,4.652084736,92695,4.679018752,231283,6.124013312,405310,6.349891584,619767,6.904969984,1347625,8.282146816,2692842,8.876089088,4328251
4,4.681427968,0,4.753413632,47480,4.611480064,91886,4.844021248,239441,5.837229568,386330,4.86531584,474856,7.091307008,1384004,8.288228864,2694905,8.950164224,4364346
5,4.679657472,0,4.647744512,46424,4.718952704,94027,4.825923328,238546,6.163119104,407901,6.350779648,619852,7.068214016,1379478,8.279089152,2691927,8.859364352,4320136
median,4.674628608,0,4.647744512,46424,4.652084736,92695,4.825923328,238546,6.124013312,405310,6.338316288,618633,7.066589184,1379197,8.279089152,2691927,8.92912512,4354105
