Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt
1,5.642207232,0,7.91627136,78807,8.017473792,159215,8.295516416,408632,8.845281536,860095,9.86080896,1917685,11.461443072,3714129
median,5.642207232,0,7.91627136,78807,8.017473792,159215,8.295516416,408632,8.845281536,860095,9.86080896,1917685,11.461443072,3714129
