Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,4.356191488,0,4.39490304,43897,4.432739584,88324,4.553069568,225054,4.62782336,306276,4.762288896,464798,5.165394176,1008088,5.860071936,1905363,6.597893632,3217380
2,4.35552384,0,4.393606912,43883,4.435396096,88379,4.551768064,224988,4.62806912,306288,4.761344256,464707,5.183166464,1011597,5.836771328,1897744,6.625978112,3230940
3,4.355104768,0,4.393433344,43882,4.43479168,88364,4.554484224,225118,4.627566848,306254,4.761359616,464709,5.173056768,1009601,5.842290688,1899545,6.602831616,3219697
4,4.355444736,0,4.393066752,43880,4.435167744,88373,4.553462784,225072,4.629422592,306380,4.758633216,464435,5.181057792,1011155,5.858200576,1904737,6.631090432,3233445
5,4.355016704,0,4.39335168,43881,4.432142592,88311,4.553781504,225087,4.628160256,306298,4.765822976,465137,5.186330112,1012155,5.850020864,1902032,6.609153024,3223151
median,4.355444736,0,4.393433344,43882,4.43479168,88364,4.553462784,225072,4.62806912,306288,4.761359616,464709,5.181057792,1011155,5.850020864,1902032,6.609153024,3223151
