Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt
1,3.933312768,0,4.033904128,40178,4.091812608,81281,4.218789376,207886,4.47036032,434997,4.966764288,966348,5.618901248,1820315
median,3.933312768,0,4.033904128,40178,4.091812608,81281,4.218789376,207886,4.47036032,434997,4.966764288,966348,5.618901248,1820315
