Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,0.729526016,0,0.734038272,7330,0.73901696,14719,0.751258112,37118,0.760343552,50296,0.77343616,75452,0.814939136,158982,0.870759168,282991,0.960795904,468394
2,0.72955648,0,0.734320384,7331,0.73837824,14707,0.752205824,37169,0.759069696,50218,0.776463616,75752,0.812969216,158587,0.874812672,284298,0.956392192,466208
3,0.729654016,0,0.733969664,7328,0.738908672,14716,0.751427072,37129,0.760347904,50299,0.773689344,75481,0.815467264,159091,0.871176192,283159,0.96085376,468429
4,0.729563648,0,0.734240512,7331,0.738465792,14708,0.752555264,37183,0.758693376,50188,0.775736064,75680,0.812802816,158569,0.87392256,284045,0.95630208,466180
5,0.729568256,0,0.734050304,7330,0.738806272,14714,0.751340544,37122,0.76048768,50310,0.774050304,75517,0.816782848,159329,0.87056,282970,0.96102272,468461
median,0.729563648,0,0.734050304,7330,0.738806272,14714,0.751427072,37129,0.760343552,50296,0.774050304,75517,0.814939136,158982,0.871176192,283159,0.960795904,468394
