Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt
1,4.232696064,0,5.499294464,54743,5.564949504,110498,5.777102336,284561,6.135327744,596616,6.830278656,1328311,8.064147712,2612436
median,4.232696064,0,5.499294464,54743,5.564949504,110498,5.777102336,284561,6.135327744,596616,6.830278656,1328311,8.064147712,2612436
