Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,0.544482048,0,0.547652608,5471,0.55088,10978,0.55984512,27675,0.566490624,37493,0.576719104,56247,0.604322304,117928,0.64459648,209428,0.697696256,339968
2,0.54434688,0,0.547558912,5470,0.55084544,10977,0.560387328,27703,0.565210368,37408,0.575933696,56172,0.605864448,118247,0.643131648,208952,0.698998016,340618
3,0.544410112,0,0.5477824,5472,0.550856704,10976,0.560214272,27693,0.5666624,37506,0.578203136,56436,0.603287296,117734,0.644480512,209382,0.697670144,339967
4,0.544639232,0,0.547715328,5471,0.550917376,10978,0.56083328,27723,0.566059008,37462,0.576559616,56228,0.606631424,118280,0.642061568,208617,0.698797312,340493
5,0.544386048,0,0.54750592,5469,0.550624512,10972,0.559833344,27675,0.56604928,37465,0.577432064,56317,0.606519552,118368,0.643605504,209100,0.697773568,340016
median,0.544410112,0,0.547652608,5471,0.550856704,10976,0.560214272,27693,0.566059008,37462,0.576719104,56247,0.605864448,118247,0.643605504,209100,0.697773568,340016
