Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,0.364890368,0,0.366828544,3664,0.368992768,7353,0.375055616,18539,0.379092736,25090,0.386878208,37757,0.403434496,78735,0.431385856,140249,0.46863104,228505
2,0.364673024,0,0.366854656,3664,0.36887296,7350,0.374930176,18534,0.37857664,25057,0.385371648,37618,0.405448704,79126,0.431163904,140190,0.470823424,229599
3,0.364751104,0,0.366809856,3664,0.369010688,7353,0.374962688,18536,0.379037696,25087,0.386457088,37722,0.403574272,78766,0.431861504,140419,0.468978176,228670
4,0.36467968,0,0.36687872,3665,0.369058816,7354,0.37533568,18555,0.378532864,25055,0.385639168,37639,0.40557824,79161,0.42990464,139792,0.470655744,229516
5,0.364831232,0,0.366840832,3664,0.368879616,7351,0.374913792,18534,0.379164672,25094,0.386838528,37752,0.404096768,78873,0.431484416,140309,0.468626944,228504
median,0.364751104,0,0.366840832,3664,0.368992768,7353,0.374962688,18536,0.379037696,25087,0.386457088,37722,0.404096768,78873,0.431385856,140249,0.468978176,228670
