Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,8.131307264,0,9.432736512,93204,9.408679424,185378,9.723184896,475486,10.117373696,662691,10.458650368,1010553,11.452259584,2213341,13.003177216,4183662,14.982761728,7203779
2,8.132479488,0,8.99654272,88838,9.60069504,189303,9.667667712,472638,10.037121536,657360,10.305576704,995492,11.352051968,2193890,12.6674432,4075126,15.670446592,7553085
3,8.130159104,0,9.327796224,92160,9.410248448,185428,9.803359488,479491,10.031813632,657080,10.018103296,967398,11.157391872,2155596,13.057830656,4200995,14.967603968,7202035
4,8.129012736,0,9.339170048,92275,9.367138048,184595,9.246082048,451873,10.100534016,661534,10.622195456,1028868,11.57838208,2237944,13.574061056,4377333,15.160073472,7292142
5,8.127731712,0,8.963659264,88519,9.60306048,189264,9.878088192,483190,9.474483968,620145,9.929503232,958624,11.388446976,2200744,12.663108608,4073554,14.851158016,7135799
median,8.130159104,0,9.327796224,92160,9.410248448,185428,9.723184896,475486,10.037121536,657360,10.305576704,995492,11.388446976,2200744,13.003177216,4183662,14.982761728,7203779
