Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt
1,4.034380544,0,4.319740672,42606,4.346225664,85513,4.440780032,216772,4.667963136,450042,5.167624448,996033,5.743757056,1842692
median,4.034380544,0,4.319740672,42606,4.346225664,85513,4.440780032,216772,4.667963136,450042,5.167624448,996033,5.743757056,1842692
