Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,10.667685888,0,11.026247424,105299,11.130754816,211737,11.438927872,535640,11.588873984,726099,12.22365824,1126673,13.565743104,2478024,14.788610304,4463919,16.11078272,7094085
2,10.677569024,0,11.025696,105292,11.132440576,211730,11.435965696,535947,11.584694016,725411,12.242024704,1127854,13.480601088,2461489,14.502941952,4368397,16.31489024,7168760
3,10.680855552,0,11.03652224,105393,11.13289984,211727,11.467776512,537062,11.856250368,743042,12.234373888,1127943,13.481694464,2462317,14.638184704,4410671,16.333216,7169866
4,10.678495232,0,11.026371328,105302,11.147150848,211923,11.4420864,535892,11.595051776,726263,12.262150912,1129811,13.504929536,2467515,14.617236224,4404576,16.141606656,7109710
5,10.675057664,0,11.038116608,105417,11.12761216,211602,11.449925632,536383,11.58618624,725653,12.235664128,1128139,13.573084928,2480001,14.522445312,4380082,16.231315456,7124481
6,10.836585728,0,11.042609408,105443,11.142236672,211889,11.685432064,547514,11.599720192,726304,12.241698304,1127630,13.496580864,2463380,14.497675008,4370332,16.307502336,7060112
7,10.833580544,0,11.029235712,105326,11.145656832,211637,11.45879296,536513,11.58235776,725441,12.261732096,1129052,13.45829632,2457960,14.520383744,4377785,16.255579648,7159032
8,10.832649728,0,11.037923584,105414,11.135840512,211735,11.453081344,536341,11.941138432,748476,12.24634752,1128389,13.480516352,2462184,14.529274112,4375560,16.274985728,7165080
9,10.679947776,0,11.038783744,105413,11.131981824,211721,11.79029376,552538,11.591041536,725726,12.236381696,1128507,13.464143104,2459153,14.58696704,4392738,16.329523968,7176518
10,10.676252416,0,11.036324608,105380,11.132841216,211681,11.784419584,551951,12.271529216,769101,12.250673664,1127915,13.467995392,2459467,14.800337664,4459843,16.264960512,7151422
11,10.82963584,0,11.035890944,105386,11.127721728,211625,11.449075456,536131,11.939105024,747889,12.251591424,1128507,13.498254848,2463413,14.645347584,4414160,16.124153344,7101836
12,10.681645824,0,11.035413504,105368,11.136021504,211771,11.442931456,535857,12.010887168,752888,12.234015488,1127112,13.482102016,2459716,14.610422016,4403369,16.169011968,7110436
13,10.833657344,0,11.042218752,105441,11.136002304,211753,11.877975296,556479,11.920108288,747182,12.256558848,1130109,13.553196544,2474893,14.556059392,4383424,16.33823872,7171276
median,10.680855552,0,11.036324608,105380,11.13289984,211727,11.453081344,536341,11.599720192,726304,12.242024704,1127854,13.482102016,2459716,14.58696704,4392738,16.264960512,7151422
