Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,1.77147776,0,1.780188672,17770,1.790307072,35649,1.820594944,89927,1.8397376,121670,1.872156416,182582,1.955670016,381306,2.080646656,675481,2.265090816,1101485
2,1.770756096,0,1.779717632,17766,1.789775616,35640,1.820574976,89931,1.840368128,121712,1.87056512,182427,1.955173888,381194,2.080112128,675429,2.25942272,1099112
3,1.77042304,0,1.7799552,17769,1.790102016,35646,1.822045952,89999,1.838270208,121578,1.870580224,182435,1.956343552,381423,2.084772608,676937,2.273895424,1106292
4,1.77026432,0,1.779644928,17765,1.78958336,35636,1.822238976,90011,1.84012672,121696,1.872410112,182604,1.959755008,382130,2.079150848,675122,2.270850816,1104700
5,1.770481664,0,1.779825408,17767,1.79014528,35649,1.821773312,89988,1.838761984,121612,1.872826368,182660,1.95449984,381096,2.083895552,676576,2.270293248,1104498
median,1.770481664,0,1.779825408,17767,1.790102016,35646,1.821773312,89988,1.8397376,121670,1.872156416,182582,1.955670016,381306,2.080646656,675481,2.270293248,1104498
