Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,2.044622336,0,2.053982208,20260,2.066885376,40668,2.111369984,103066,2.134982912,139539,2.172385536,209361,2.283318272,440125,2.465258496,790989,2.689218304,1288479
2,2.046174208,0,2.050446848,20226,2.065915392,40649,2.112358144,103109,2.1311424,139287,2.192264704,211326,2.28728064,440932,2.45801856,788652,2.678587648,1283476
3,2.047854592,0,2.053125632,20252,2.068526336,40700,2.1052416,102753,2.130793216,139268,2.171726592,209349,2.286479104,440772,2.4464768,784955,2.683837696,1286161
4,2.039755776,0,2.053997056,20261,2.072820224,40787,2.110085376,103000,2.129772288,139193,2.177532416,209893,2.287168,440849,2.451468032,786606,2.684150016,1286021
5,2.041748736,0,2.057293824,20293,2.071859456,40769,2.11343104,103159,2.131033088,139271,2.167193344,208902,2.283227904,440133,2.45788032,797480,2.694745856,1291016
median,2.044622336,0,2.053982208,20260,2.068526336,40700,2.111369984,103066,2.131033088,139271,2.172385536,209361,2.286479104,440772,2.45788032,797480,2.684150016,1286021
