Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,10.770419968,0,10.994129152,105213,11.095004672,211404,11.413456128,535514,11.517826048,722861,11.866499328,1093778,13.378304256,2447702,14.465115904,4371988,16.007970304,7066473
median,10.770419968,0,10.994129152,105213,11.095004672,211404,11.413456128,535514,11.517826048,722861,11.866499328,1093778,13.378304256,2447702,14.465115904,4371988,16.007970304,7066473
