Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,1.395195136,0,1.395601408,13216,1.399949056,26465,1.42902784,66960,1.44137984,90395,1.468536832,135979,1.53256064,283148,1.644312832,501191,1.775966208,785864
2,1.383619328,0,1.391578112,13188,1.410669056,26595,1.425207296,66812,1.439254528,90405,1.466608128,135754,1.543529472,284865,1.63724032,498510,1.88790144,839302
3,1.385261568,0,1.393984512,13206,1.398047232,26440,1.43334528,67096,1.440279552,90371,1.46907648,136032,1.532605952,283372,1.645096192,500972,1.784754688,789259
4,1.383063296,0,1.390986496,13186,1.402318592,26498,1.434917376,66896,1.434740736,90252,1.470905344,136174,1.53707904,284180,1.64344704,500877,1.874258944,834557
5,1.383290624,0,1.392862976,13199,1.399898624,26446,1.42209792,66727,1.44121856,90508,1.46772352,136009,1.537293056,284494,1.6402752,499469,1.879358464,837322
6,1.381030656,0,1.390555904,13179,1.401148416,26482,1.425373696,66867,1.436292352,90263,1.4695424,136102,1.53246976,284145,1.65281536,503087,1.883917568,838028
7,1.387309056,0,1.392353536,13196,1.3992768,26444,1.422714112,66754,1.441733632,90523,1.465208832,135761,1.536902912,284453,1.64163072,500167,1.881224192,837281
8,1.382116864,0,1.389924608,13181,1.404475136,26537,1.426493696,66881,1.438820352,90352,1.469420544,136004,1.544363264,285081,1.632521984,500245,1.87734144,838981
9,1.381089536,0,1.392453888,13199,1.398987008,26442,1.421950976,66804,1.440486656,90442,1.474748672,136402,1.540073472,284475,1.63687808,500979,1.875439616,836684
10,1.382491136,0,1.389369856,13177,1.4008576,26491,1.427250176,66913,1.44701696,90698,1.468179456,135827,1.54924416,285658,1.654313728,502818,1.878448384,837873
11,1.381596416,0,1.39277696,13199,1.399206656,26460,1.423065088,66784,1.440493056,90447,1.467842816,136013,1.54173952,284997,1.640689408,499049,1.87644544,836177
12,1.383689984,0,1.390202368,13170,1.409172224,26539,1.430440192,67048,1.4511232,90851,1.47007232,136179,1.54265216,284862,1.642729472,500447,1.883515648,837459
13,1.383133696,0,1.395102976,13214,1.403143424,26510,1.426412544,66917,1.44275456,90552,1.47046016,136169,1.541438976,284820,1.642704896,500911,1.880562432,836191
median,1.383133696,0,1.392353536,13196,1.4008576,26491,1.426412544,66917,1.440493056,90447,1.46907648,136032,1.540073472,284475,1.642704896,500911,1.878448384,837873
