Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,8.544062208,0,8.59737344,85877,8.650973184,172385,8.8006592,435039,8.91485184,590035,9.072608768,885520,9.53171968,1860375,10.241717504,3330094,11.179172352,5451313
2,8.544103936,0,8.5958912,85867,8.644678912,172262,8.81326848,435661,8.896367104,588809,9.066080768,884889,9.53879936,1861754,10.213870592,3321071,11.174867968,5449308
3,8.544032256,0,8.595193088,85857,8.6497856,172362,8.807469824,435372,8.913079296,589920,9.074332416,885694,9.53831296,1861598,10.246921728,3331774,11.18260992,5452868
4,8.543171584,0,8.59743104,85881,8.649580288,172355,8.814021888,435691,8.891625984,588492,9.066536704,884944,9.536050432,1861188,10.207467264,3318949,11.176278016,5449934
5,8.54288128,0,8.595686656,85862,8.653144576,172428,8.801427712,435071,8.893999616,588650,9.065764352,884882,9.534127872,1860841,10.210387712,3319832,11.242576128,5482210
median,8.544032256,0,8.5958912,85867,8.6497856,172362,8.807469824,435372,8.896367104,588809,9.066536704,884944,9.536050432,1861188,10.213870592,3321071,11.179172352,5451313
