Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,6.408117248,0,6.44836096,64413,6.491190272,129349,6.60033152,326265,6.678379264,442002,6.803782912,664091,7.181592064,1401641,7.660539904,2490723,8.435828736,4113366
2,6.40820352,0,6.448504064,64413,6.487917824,129281,6.607691264,326632,6.683306752,442327,6.819599616,665629,7.143711488,1394219,7.660839936,2490817,8.349566976,4071329
3,6.408092928,0,6.447111168,64399,6.489590272,129313,6.617020928,327081,6.680329472,442139,6.795457024,663288,7.170873856,1399517,7.661302528,2490871,8.377309184,4084883
4,6.408014336,0,6.448175616,64411,6.487881984,129280,6.607389696,326605,6.684014848,442388,6.825275648,666185,7.144881664,1394448,7.657138944,2489619,8.350020352,4071490
5,6.408096,0,6.446515712,64395,6.488071168,129284,6.610755584,326770,6.679829248,442111,6.797713152,663465,7.180519936,1401388,7.660431104,2490676,8.386700544,4089432
median,6.408096,0,6.448175616,64411,6.488071168,129284,6.607691264,326632,6.680329472,442139,6.803782912,664091,7.170873856,1399517,7.660539904,2490723,8.377309184,4084883
