Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,3.266148096,0,3.293841408,32899,3.325440256,66260,3.412476928,168669,3.465422848,229344,3.567851264,348225,3.880425216,757242,4.372533504,1421624,4.935252992,2406439
2,3.267073792,0,3.295104768,32911,3.32392064,66227,3.414717184,168780,3.47120128,229727,3.56763776,348191,3.876059904,756414,4.389360896,1427040,4.956293632,2416701
3,3.26574336,0,3.294030592,32901,3.325455616,66259,3.415245312,168805,3.469240064,229600,3.571504384,348539,3.883213824,757824,4.3697792,1420725,4.933364224,2405583
4,3.265734144,0,3.29420672,32904,3.325043712,66251,3.413330432,168713,3.465310464,229333,3.579375104,349303,3.885186816,758202,4.374631168,1422346,4.93218432,2405033
5,3.265804544,0,3.294251776,32904,3.32512896,66252,3.413959168,168743,3.468802048,229572,3.566384896,347958,3.872575744,755787,4.373059584,1421825,4.928146944,2403075
median,3.265804544,0,3.29420672,32904,3.32512896,66252,3.413959168,168743,3.468802048,229572,3.567851264,348225,3.880425216,757242,4.373059584,1421825,4.933364224,2405583
