Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,0.6012224,0,0.571486464,5709,0.579916032,11556,0.599191296,29605,0.673820672,44572,0.788834048,76952,0.865936384,168860,0.876862976,284898,0.946727936,461461
2,0.606260736,0,0.5702144,5696,0.577322496,11505,0.603221248,29820,0.718767872,47545,0.789466368,77008,0.83301632,162474,0.868713216,282276,0.95758208,466690
3,0.593438208,0,0.57347328,5725,0.577801728,11514,0.6031168,29811,0.689974528,45633,0.731803136,71370,0.822013696,160332,0.870184192,282774,0.952268544,464048
4,0.5823936,0,0.573203456,5726,0.579160576,11533,0.604519424,29881,0.6761856,44725,0.769415168,75017,0.83143552,162175,0.87289728,283677,0.94435328,460218
5,0.584351488,0,0.571095552,5705,0.576385536,11485,0.60494208,29906,0.740091648,48962,0.78992,77073,0.871945984,170067,0.841066752,273287,0.956507904,466163
median,0.593438208,0,0.571486464,5709,0.577801728,11514,0.603221248,29820,0.689974528,45633,0.788834048,76952,0.83301632,162474,0.870184192,282774,0.952268544,464048
