Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,10.54622464,0,10.881486592,108515,10.95499264,217920,11.166032896,550968,11.307780864,746874,11.499862272,1120287,12.112740608,2359263,12.96910976,4206485,14.241337856,6916921
2,10.546239744,0,10.881856512,108521,10.94991104,217820,11.166176,550981,11.276750336,744995,11.515313152,1121829,12.098235904,2356337,12.981462784,4210289,14.283786496,6936639
3,10.547126784,0,10.877254144,108476,10.953971456,217900,11.163910144,550861,11.291415296,745952,11.495512064,1119893,12.142520576,2364565,12.963158016,4204578,14.230656768,6912558
4,10.54628864,0,10.880907008,108509,10.949863168,217819,11.17057152,551187,11.280729088,745235,11.506479872,1120982,12.080560896,2352979,12.979399168,4209812,14.306855168,6945886
5,10.546338048,0,10.878642176,108490,10.954585856,217910,11.165615616,550938,11.321176576,747723,11.495852288,1119908,12.10038528,2356779,13.039194368,4228729,14.273378304,6932967
median,10.54628864,0,10.880907008,108509,10.953971456,217900,11.166032896,550968,11.291415296,745952,11.499862272,1120287,12.10038528,2356779,12.979399168,4209812,14.273378304,6932967
