Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,3.519066112,0,3.470481664,34664,3.48645504,69465,3.635728896,179703,3.815597568,252516,4.755384832,464142,5.190266112,1012967,6.08735488,1979269,6.598549248,3217653
2,3.496710144,0,3.485634816,34812,3.469715712,69134,3.65351424,180587,4.325557248,286271,4.751977728,463792,5.306153984,1035583,6.19310592,2013644,6.623677184,3229848
3,3.522588672,0,3.44354176,34392,3.488631552,69509,3.624407808,179147,3.559298048,235559,4.73292288,461933,5.246761984,1024009,6.235896576,2027551,6.687605248,3261466
4,3.503628032,0,3.443544832,34394,3.483900416,69417,3.632892672,179567,4.405477632,291567,4.75380864,463967,5.322624768,1038795,6.18096128,2009689,6.6148352,3226120
5,3.513847808,0,3.427814144,34236,3.478692096,69312,3.635077888,179674,4.570493952,302488,4.756514048,464223,5.287545344,1031939,6.222122752,2023106,6.629001984,3232957
median,3.513847808,0,3.443544832,34394,3.483900416,69417,3.635077888,179674,4.325557248,286271,4.75380864,463967,5.287545344,1031939,6.19310592,2013644,6.623677184,3229848
