Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,5.46395648,0,5.592460544,53260,5.635609344,106896,5.79122048,271263,5.853301504,366150,5.997446656,552444,6.657150976,1218225,7.438624256,2254937,7.97035904,3515848
2,5.46252672,0,5.591978496,53244,5.567571456,105508,5.78937216,271192,5.855108608,366313,6.009531136,554021,6.641317376,1215884,7.13417088,2163653,7.830339072,3459155
3,5.455748608,0,5.589243648,53226,5.571028736,105541,5.775733504,270710,5.863172096,367099,5.991113728,552261,6.656078848,1218979,7.40142976,2247396,8.129105664,3596298
4,5.4664768,0,5.586854912,53202,5.640475392,106948,5.786590208,270943,5.856474624,366637,6.006057984,553606,6.64117632,1217118,7.405206016,2244977,7.735264768,3418709
5,5.466601472,0,5.588567808,53207,5.635312384,106945,5.775660288,270667,5.872488192,367666,6.0015168,552869,6.388497152,1168550,7.119916544,2160630,8.187671552,3627410
6,5.462836736,0,5.58338304,53164,5.63947648,107000,5.789470976,271198,5.85257216,366475,6.006521856,553562,6.641312256,1216858,7.469975808,2263467,7.773689344,3431773
7,5.462086144,0,5.591812864,53240,5.584508416,105822,5.780717312,270905,5.853698816,366964,5.997423872,552959,6.65477376,1218421,7.37303552,2234608,8.17892608,3627487
8,5.468011776,0,5.588770816,53214,5.64492672,107028,5.792645632,271137,5.860968192,366999,6.0095424,553784,6.647280896,1217254,6.963759616,2107909,7.736164864,3421282
9,5.476392704,0,5.592731904,53250,5.640004352,106985,5.786790912,271052,5.852132864,366645,5.999047424,552197,6.386244608,1169172,7.331794176,2223606,8.180870912,3628560
10,5.462896128,0,5.593174272,53251,5.63565952,106915,5.790618112,271013,5.848391168,366327,6.001955072,553469,6.6620736,1218762,7.43155968,2253052,7.813103872,3455523
11,5.464127488,0,5.586953984,53183,5.639687936,106960,5.788809984,271064,5.86760832,367548,5.998996736,553261,6.685691648,1218108,7.409899776,2247974,7.830113792,3450402
12,5.465604608,0,5.589745664,53220,5.62765312,106668,5.793899776,271291,5.856107776,366802,6.009323776,553828,6.650837248,1216705,7.444307456,2257076,8.20343296,3634021
13,5.46635264,0,5.59124096,53224,5.639438848,106983,5.78275328,270844,5.856707584,366828,5.999787776,552704,6.369849856,1166943,7.504237568,2272741,7.764676352,3428731
median,5.464127488,0,5.589745664,53220,5.63565952,106915,5.788809984,271064,5.856107776,366802,6.0015168,552869,6.647280896,1217254,7.405206016,2244977,7.830339072,3459155
