Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,12.131261952,0,14.89138816,147181,14.044595968,276762,15.900567296,777784,15.920048896,1042950,16.985235712,1642012,19.235507968,3721059,21.830854656,7029162,24.749225472,11910024
2,12.132667648,0,14.875306496,147041,14.63352704,288501,15.5741184,762007,15.552650752,1018945,17.01412096,1644843,19.435203328,3758993,21.734363648,6997999,25.001609984,12027567
3,12.135765248,0,14.243451136,140758,14.702100992,289874,15.194048,743200,15.474815488,1013536,16.672551168,1611300,19.44965632,3767538,21.03654784,6770350,25.68146304,12360369
4,12.13335936,0,14.837785088,146695,14.686930432,289536,15.171881472,742170,15.84220928,1038005,17.537240064,1696050,19.091684608,3692391,21.381180928,6882543,25.75388032,12400909
5,12.125285376,0,14.799189504,146311,14.755275264,290872,15.392312064,752929,16.034166784,1050523,16.167535104,1561866,19.409950464,3754955,21.858249472,7036993,25.347054848,12195152
median,12.132667648,0,14.837785088,146695,14.686930432,289536,15.392312064,752929,15.84220928,1038005,16.985235712,1642012,19.409950464,3754955,21.734363648,6997999,25.347054848,12195152
