Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,8.050921472,0,8.314775552,79368,8.377909248,159287,8.60388352,403520,8.6894208,544170,8.906311936,821055,9.83394048,1799862,10.52821248,3183257,11.976313344,5266036
2,8.160352256,0,8.295408896,79194,8.37107712,159170,8.5977152,403145,8.722049792,546488,8.910206976,821859,9.85595648,1803127,10.536508928,3186689,11.86387584,5218301
3,8.053266176,0,8.304115968,79271,8.374324224,159212,8.600237312,403410,8.68758656,544683,8.91554816,821761,9.844089856,1800280,10.635713536,3217233,11.998803968,5273415
4,8.131848448,0,8.305150976,79285,8.39976832,159684,8.580831744,402460,8.690251008,544877,8.916325632,821957,9.847566592,1803096,10.637787392,3215570,11.885742848,5220564
5,8.134799104,0,8.301509888,79271,8.362780416,158980,8.597646592,403201,8.679580416,543979,8.901186304,820199,9.825009664,1796369,10.568490752,3194018,11.91135104,5223815
median,8.131848448,0,8.304115968,79271,8.374324224,159212,8.5977152,403145,8.6894208,544170,8.910206976,821859,9.844089856,1800280,10.568490752,3194018,11.91135104,5223815
