Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,4.088307456,0,4.335825152,42778,4.412057856,86849,4.46686336,218109,4.54374784,297084,4.737004544,457030,5.252640768,1013670,5.76412032,1852340,6.57830144,3154089
2,4.0883648,0,4.330926336,42733,4.44378624,87480,4.45209472,217367,4.619522048,302093,4.776843008,460917,5.228785152,1009404,5.744826624,1846291,6.571642112,3149941
3,4.086909184,0,4.343296512,42852,4.434568448,87297,4.464372992,217985,4.609494528,301458,4.71747712,455116,5.217390336,1007058,5.782385152,1858179,6.815067136,3289358
4,4.08656256,0,4.333427968,42754,4.375158272,86105,4.517693184,220623,4.559054848,298127,4.72101376,455454,5.161194752,996206,5.802143232,1864792,6.621429504,3173023
5,4.090542592,0,4.340603392,42823,4.357115136,85747,4.469069568,218220,4.52791296,296089,4.78695808,461885,5.240897536,1011602,6.088526592,1966966,6.797721856,3280333
median,4.088307456,0,4.335825152,42778,4.412057856,86849,4.46686336,218109,4.559054848,298127,4.737004544,457030,5.228785152,1009404,5.782385152,1858179,6.621429504,3173023
