Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,16.183433728,0,20.651940096,204200,21.59940352,426211,21.807880448,1067297,22.638168576,1483911,23.46065664,2268156,26.739233024,5172802,31.511501312,10149461,36.97624832,17797195
2,16.240814336,0,20.501087488,202714,20.441174528,403106,20.766610944,1015855,22.034551808,1443995,22.29534464,2154368,27.11122176,5245931,31.256157696,10066447,36.967661568,17805593
3,16.218394368,0,20.4243968,201910,21.428008704,422793,21.546969856,1054378,22.154354944,1451747,23.488414208,2271187,27.150850048,5252398,30.881661696,9943504,37.14300416,17880504
4,16.167036672,0,20.49074304,202599,21.232074496,418886,21.85538816,1069709,21.02790656,1377304,23.552351232,2277512,26.584352512,5141205,31.315958272,10086052,36.88434304,17754466
5,16.171517952,0,20.600939776,203663,21.251302912,419269,21.206151168,1037567,21.95551616,1438609,22.85348352,2209123,26.976299008,5218206,30.98999552,9978863,36.887853824,17754494
median,16.183433728,0,20.501087488,202714,21.251302912,419269,21.546969856,1054378,22.034551808,1443995,23.46065664,2268156,26.976299008,5218206,31.256157696,10066447,36.967661568,17805593
