Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt
1,2.94863232,0,3.013196032,30010,3.049268736,60585,3.156988928,155614,3.333575168,324336,3.70520704,721010,4.19805568,1360485
median,2.94863232,0,3.013196032,30010,3.049268736,60585,3.156988928,155614,3.333575168,324336,3.70520704,721010,4.19805568,1360485
