Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,2.182495488,0,2.200797696,21981,2.21902848,44210,2.273474048,112364,2.307859968,152723,2.377511936,232061,2.57321984,502158,2.891019776,939878,3.195070208,1557806
median,2.182495488,0,2.200797696,21981,2.21902848,44210,2.273474048,112364,2.307859968,152723,2.377511936,232061,2.57321984,502158,2.891019776,939878,3.195070208,1557806
