Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,1.374114816,0,1.382613504,13134,1.400137728,26470,1.423008,66759,1.43741824,90262,1.464073728,135986,1.53706496,284009,1.639856896,499629,1.867194112,834891
2,1.370149376,0,1.384075008,13142,1.397195776,26442,1.422264832,66750,1.4389504,90373,1.464064512,135749,1.535092736,283851,1.631314176,500104,1.873475072,834762
3,1.369393152,0,1.389594624,13176,1.399015168,26473,1.421685248,66749,1.44053248,90415,1.46402944,135717,1.536293888,284398,1.639691008,499848,1.873683968,836946
4,1.377310208,0,1.3858304,13156,1.395801344,26417,1.420436992,66687,1.437207808,90315,1.462156544,135557,1.538768384,284645,1.63682048,499321,1.877989632,836377
5,1.380909056,0,1.386801408,13161,1.395799296,26432,1.42139904,66728,1.436662272,90275,1.464174592,135744,1.535001856,283747,1.63582592,501254,1.86936448,837036
median,1.374114816,0,1.3858304,13156,1.397195776,26442,1.421685248,66749,1.43741824,90262,1.464064512,135749,1.536293888,284398,1.63682048,499321,1.873475072,834762
